date,google_spend,google_impressions,google_clicks,meta_spend,meta_impressions,meta_clicks,meta_reach,meta_frequency,tiktok_spend,tiktok_impressions,tiktok_clicks,tiktok_conversion,tiktok_reach,dv360_spend,dv360_impressions,dv360_clicks,x1_impressions,x1_clicks,x1_spend,Quantity,dv_360_x1_impressions,dv_360_x1_clicks,dv_360_x1_spend,Total_Revenue,total_discount,Service Fee,competitor_trend,CCI,holidays,all_promo,seller_discount
2024-12-16,6654.338748,4641187,113853,8746.65,4367500,102184,3127501,1237.252039,2437.86,2406440,54175,2554,1969802,23024.3012,3162878,3156,323650,204,54515.21383,198,3486528,3360,77539.51503,803431,305698,29404,89,56.9,0,0,88628
2024-12-23,6669.085897,5150101,121129,4094.22,2917035,75332,2326045,903.879487,2704.1,3148781,107110,3031,2805355,22211.93783,3211833,3932,698285,634,111099.2751,287,3910118,4566,133311.2129,1003874,777296,36459,99,56.9,0,0,125579
2024-12-30,6390.176296,5244436,130355,5141.65,4457242,83941,3405894,1105.513568,1596.89,1739738,24673,1896,1458302,22950.94859,2396451,4691,550943,507,117478.2114,146,2947394,5198,140429.16,584176,131053,19578,92,56.9,1,1,53068
2025-01-06,822.918475,885709,22710,1020.08,857135,16671,632653,392.058692,98.52,96611,1751,0,84389,2.83673943,238,2,16,1,3.20848544,240,254,3,6.04522487,1046385,849441,34194,93,57.9,0,0,119138
2025-01-13,0,0,0,598.47,345142,4918,209875,362.094783,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,1736525,1108721,60760,92,57.9,0,0,193221
2025-01-20,0,0,0,767.13,357995,4311,211250,318.558821,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,1376657,1577444,59710,100,57.9,0,0,160198
2025-01-27,0,0,0,818.51,351659,5557,216490,345.256135,0,0,0,0,0,0,0,0,0,0,0,737,0,0,0,3137758,2735248,132484,93,57.9,0,1,572183
2025-02-03,0,0,0,1322.52,606598,15740,360119,392.531125,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,1146452,629639,49172,96,59,0,0,108078
2025-02-10,0,0,0,137.87,74187,1838,48901,121.582393,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,1553376,1302729,65680,85,59,1,0,304195
2025-02-17,0,0,0,473.29,227944,2737,111867,253.504541,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,802797,628720,35052,72,59,0,0,109035
2025-02-24,0,0,0,53.9,18726,396,10782,77.401715,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,1781059,1337749,76009,84,59,0,0,211921
2025-03-03,0,0,0,1781.57,690835,20078,360929,288.070963,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,2833889,2014563,113332,87,57.8,0,1,327899
2025-03-10,0,0,0,309.34,227274,3837,143662,146.646223,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,676943,442557,25361,80,57.8,0,0,52792
2025-03-17,0,0,0,853.75,400330,6720,219314,272.13019,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,408225,263946,17442,83,57.8,0,0,16792
2025-03-24,0,0,0,459.93,207762,3515,109673,120.395478,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,909844,624028,37276,80,57.8,0,0,32227
2025-03-31,0,0,0,769.94,355059,4954,220804,232.998353,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,1764283,1276918,78154,84,57.8,1,1,152471
2025-04-07,0,0,0,875.66,498862,8969,271587,260.976202,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,448506,221479,18457,79,56.7,1,0,43010
2025-04-14,0,0,0,157.53,104239,2505,68234,170.326623,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,808016,929951,33576,93,56.7,1,0,80362
2025-04-21,0,0,0,153.11,113258,2195,70693,194.806855,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,1720055,1321163,75655,88,56.7,0,0,209336
2025-04-28,0,0,0,353.45,229329,4176,143660,216.641201,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,850145,610727,38825,88,56.7,2,0,85817
2025-05-05,0,0,0,1058.61,589768,14796,353833,220.98441,0,0,0,0,0,0,0,0,0,0,0,831,0,0,0,3520082,1938619,147124,93,55.4,0,1,867978
2025-05-12,0,0,0,329.03,192422,4789,140323,112.947498,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,1688172,1268102,75357,88,55.4,1,0,265638
2025-05-19,0,0,0,396.81,154487,4404,80215,152.251801,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,1689313,1222108,81318,99,55.4,0,0,283374
2025-05-26,0,0,0,460.13,192881,4310,100176,127.042087,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,1207359,766316,55565,99,55.4,0,0,132631
